'JF6KVBVOODKVKZ8S' 	 J10.62,R253.1,R254.2, 
'XIRKTFRDG6UPDPG7' 	 J8.14,R69.2,U5.1, 
'LAQDWRRMV4IOVFF9' 	 J20.6,R192.2,R194.1,R198.2, 
'9I0UZGWLB9WWDZ8E' 	 J21.7,R194.2, 
'N2IAFASBJARSEWFK' 	 J10.19,J34.4,R192.1, 
'VNXIV7YIGERC2HNQ' 	 J21.8,R195.2, 
'PSVZZ3NDXUUVQIKU' 	 TP40.1,U6.11, 
'MFVPWQ6IQQ6IV35D' 	 J20.5,R193.2,R195.1,R199.2, 
'WUOC5C3TBCB9EUKO' 	 J8.33,R266.2,R45.2, 
'U41TPX6DEK5RDAKG' 	 J10.33,J34.1,R193.1, 
'PRX0WKALTWEOTZLF' 	 J22.5,R204.2,R205.1,R211.2, 
'KYV5ETYKBRNDTZAT' 	 J23.8,R205.2, 
'WPWMYDMKMDOTGTHC' 	 J14.2,R247.2, 
'0FWH9N3VPUBBCRAS' 	 J10.8,J12.6,J46.1,R158.1, 
'IBWYYAMARSCFCH8O' 	 J14.3,R238.2, 
'KR8UFUPJLLQCMX66' 	 J13.3,R171.1,R244.1,R246.2, 
'UHAUNYXVZDMJRAB4' 	 J8.57,R268.2,R47.2, 
'TD2LWKJQRQL1VE4T' 	 J10.57,J35.1,R204.1, 
'QNH0EHNWXLUY1H30' 	 J22.6,R206.1,R207.2,R210.2, 
'3JJKICTCQYXJSKGK' 	 J23.7,R206.2, 
'WPEKVH1QF7MWX2SK' 	 J10.101,J30.4,R187.1, 
'UAJGLHPJOQISLZ8Y' 	 J8.85,R273.2,R52.2, 
'LKO7ZFCAXHZ7I6YE' 	 J15.2,R175.2, 
'P5QPTBH1EETRXQN0' 	 J8.74,R75.2,U5.7, 
'GJ1UNAJTQRE0Q1XI' 	 J25.7,R212.2, 
'MZBA4FNIGZZBA80G' 	 J8.77,R272.2,R51.2, 
'XZS1HG0WXAZE2TGQ' 	 J24.6,R212.1,R213.2,R219.2, 
'KN6T2HID49NIDUAI' 	 J8.90,R73.2,U5.5, 
'XESIVMEQ426QPRYK' 	 J8.119,R271.2,R50.2, 
'TOBOHFPZQAVULCFP' 	 J10.119,J36.4,R213.1, 
'5AI4YE7VZEYYXPFK' 	 J10.49,J44.1,R246.1, 
'NBEF5MPM1IFVKKWM' 	 J24.5,R214.2,R216.1,R220.2, 
'49RS4PE6H57E8ZPR' 	 J25.8,R216.2, 
'TDGFN0MFHB2EMI2E' 	 J8.93,R143.2, 
'WE1YGLJ2B45QJHMG' 	 J10.109,J36.1,R214.1, 
'ZMZEZ31EE4MYF1SN' 	 J15.1,R177.2, 
'1UWK6JHWUYBK4YFQ' 	 J26.5,R221.2,R224.1,R229.2, 
'8DFOILG6YP43LXVX' 	 J27.8,R224.2, 
'F2SBIP3Z40IRQOEL' 	 J11.2,R239.2, 
'AS5KOHFWN3LIG0EI' 	 J8.69,R269.2,R48.2, 
'CEYTIWXQPTFJIXNL' 	 J10.100,J16.4,R177.1, 
'LFTIYGSHYSDO0TSH' 	 J8.84,R81.2,U5.14, 
'5LF1ENT41AXZ0DIO' 	 J10.77,J37.1,R221.1, 
'9VSRG4LI1HOFJHOA' 	 J27.7,R223.2, 
'MTGIW3LMSEP8MR0T' 	 J26.6,R222.2,R223.1,R228.2, 
'8EL9TLQMZSWFX9Y5' 	 J10.1,J12.4,R250.1, 
'Q5RC7EMNK0YKXM0O' 	 R232.1,R65.2,U5.23, 
'1AFNCIQM3ERVN8KU' 	 J10.90,J16.5,J41.2,R175.1, 
'PPRNVL7KZ3S72T6J' 	 J18.1,R186.2, 
'KRF8LCIFTOBYWMRM' 	 R173.2,R182.2,R240.1,R244.2, 
'CVDGFNG6VNUQWVIX' 	 J10.116,J42.1,R176.1, 
'TQFBT2IOO6VEXUDL' 	 R159.1,R172.2,R181.2,R243.2, 
'MG7UDF4XNHRLQMIL' 	 C51.1,U9.13, 
'YKYQYXQMVE1QC23A' 	 J10.103,R252.1,R253.2, 
'W0G0VLJCXMKNVOS3' 	 J10.41,J44.4,R245.1, 
'UVAXXEV3YS25UZN4' 	 J21.1,R196.2, 
'WEKEIPCEJKLOWKSK' 	 J13.2,R243.1,R245.2,R249.1, 
'AJ3SOJLA430A8ZIZ' 	 J10.87,R257.1, 
'H0UT7HIIFAXBWG3H' 	 J8.76,R76.2,U5.8, 
'CAVVHFQBHJS5V8FP' 	 C52.1,U10.13, 
'FUHX3Z8BVVO855EZ' 	 J15.3,R174.2, 
'GAHP2LT5EXRKDVY1' 	 R133.1,R135.1,R136.1,R141.1,R143.1,R145.1,R147.1,R149.1,R151.1,R4.1, 
'ALWWDHNCTVSGRKOT' 	 J10.35,R251.1,R252.2, 
'W5CXH55QWTHIXR6V' 	 J21.2,R197.2, 
'WRLFGQ3WLRGBBBLC' 	 J21.3,R200.2, 
'OS7BALPCTW5K7RFE' 	 J8.11,R13.2,R15.2,R259.2, 
'NENNLZ3YUJMDPRZI' 	 J11.3,R158.2, 
'42BCBQ8DM5YMBSP4' 	 C48.1,U12.7, 
'GPHST22MIK4KLYNW' 	 C21.1,R117.1,R278.2,TP52.1,U9.15,U9.16,U9.17, 
'ECGU3VIQHMFO6BXK' 	 C46.1,U12.12, 
'E8IZICH2VFS6YFS4' 	 J16.2,R172.1,R178.2,R180.1, 
'OJA05FFTQC57DBCB' 	 C20.1,R106.1,R279.2,TP53.1,U8.6, 
'JG9IFGG99BLUSEIE' 	 C42.1,U12.1, 
'UFFR3G4ZWKRUVJAW' 	 J10.16,R254.1,R255.2, 
'IS3EL7CJRYSOYKFF' 	 SHRT2.1,U5.25, 
'GBKNLM9GOB39GODM' 	 J10.46,R255.1,R256.2, 
'I5QCNNCQK4MQTXPE' 	 TP34.1,U11.4, 
'2NXYW28RYCPWSWXO' 	 TP35.1,U11.1, 
'1K1LHCDP8AZVYUK3' 	 R14.1,R32.2,U12.2, 
'BRTRFDAQM1YW5XLU' 	 R34.2,U12.5, 
'JCSEHVIW3YUEMOAT' 	 J8.22,R77.2,U5.10, 
'QSHEUO7F9VTEVFCG' 	 TP36.1,U11.6, 
'2ECWWLPMU7ILV1GF' 	 R33.2,U12.6, 
'5XLPFX80QYWHRDZY' 	 R230.1,TP37.1,U11.8, 
'TCBVLMINRMTWTN99' 	 J10.6,R251.2, 
'RWBM3PEHWSMNEQSB' 	 R13.1,R30.2,U12.3, 
'HY9BQEXRXGF5EJIA' 	 C39.1,TP38.1,U11.5, 
'QIJK7CRV3LJKZEFD' 	 J10.30,J13.6,J43.1,R238.1, 
'KPCIPTAKBLB068RY' 	 R274.1,U12.17, 
'DP8Z0SJLHTKKZ13C' 	 R98.1,TP22.1, 
'H3ULZJLBXFRLQ6GG' 	 J3.4,J3.6,R98.2, 
'W00QELV7US0HOQNF' 	 J10.106,J42.4,R178.1, 
'X9XG0RQNO2VZPRRO' 	 J8.27,R78.2,U5.11, 
'CAV9ABBVYOS6JOHD' 	 R103.2,R107.1,U8.2, 
'HNFEYH0VDOEEAZKW' 	 R101.2,R105.1,U7.2, 
'OZ6LCQ3CPTAR4XFO' 	 R201.2,U11.2, 
'ERDZ5NDK6BLPD2FV' 	 R100.2,U7.5, 
'6LACWOGHRWO0O9HI' 	 J10.117,R256.1,R257.2, 
'HXHUBCQO0IXY58M7' 	 R104.2,U7.4, 
'IIO6MCHFDHC0NWKO' 	 J1.30,TP16.1, 
'9UAARUCRRG2FWQYA' 	 R106.2,U8.4, 
'MODATNKIA5LYYN7B' 	 J1.2,TP1.1, 
'LMTVOO2DNC4AWKZ0' 	 J25.1,R215.2, 
'MEIJO7YPMYFZUR5F' 	 R102.2,U8.5, 
'DMUB5HKFPKMGP7CI' 	 R113.2,R115.1,U10.14, 
'H18WGS8G0GJEKVIO' 	 C23.1,C25.1,C26.1,C27.1,R110.1,R112.1,R116.2,U10.1,U10.19,U10.20, 
'TPLT8HMOFURW599K' 	 C47.1,U12.24, 
'OYP3EFPKBQSYXLEC' 	 R116.1,U10.2, 
'DLAMKEJ7OSLYUTHJ' 	 J25.2,R217.2, 
'9GAUX6FQFI80RHVH' 	 R112.2,U10.4, 
'NSCL3F9MVQSXNJEJ' 	 J1.24,TP12.1, 
'SUTPXSBFTI4MMWOM' 	 C23.2,U10.3, 
'PGYFLG15OCD4ZX1R' 	 R118.1,U9.2, 
'LTA1B0XYRXLJQWVH' 	 J1.23,TP13.1, 
'MZUJDOASTAMOE282' 	 R114.2,U9.4, 
'U4KTOJQJFKP7UFCW' 	 C24.2,U9.3, 
'YCT6UBJYALS8LNG3' 	 C24.1,C28.1,C29.1,C30.1,R111.1,R114.1,R118.2,U9.1,U9.19,U9.20, 
'ESEMVQIGX08GQWXF' 	 J1.25,TP15.1, 
'VTB9J2B4WUFJEKMS' 	 R117.2,R119.1,U9.14, 
'IK79XANMT5AM4ZNO' 	 J9.1,R138.2,R139.1, 
'4D0TISS2FXN3YY1U' 	 J7.1,R133.2,R134.1, 
'KWUPHTSNCLEBYWTK' 	 J1.26,TP14.1, 
'GQYQUOUHN8XOSPSY' 	 R40.2,SW2.2,TP47.1, 
'D7DAO8OQGI3GYXPH' 	 TP42.1,U6.16, 
'UQICO3SDF24XJZP6' 	 R41.2,SW2.3,TP48.1, 
'EWXDDLY7X3GLOAFG' 	 J8.8,R70.2,U5.2, 
'B6ICRONMXSDNWHJE' 	 J1.14,TP7.1, 
'BRKPSDLIAZRUASIM' 	 J25.3,R218.2, 
'PIJDE2J794HMS64D' 	 R42.2,SW2.4,TP49.1, 
'PRXT5OM3DHJNDXRT' 	 J8.92,R74.2,U5.6, 
'PIGAIYLPNUVYKMOO' 	 R110.2,R164.2,R165.2,R166.2,R275.2,R61.2,R67.2,R88.2,R89.2, 
'YZIJ5UBOJH8PT0BN' 	 J9.2,R137.2, 
'JYR65PWLPXVLQDNH' 	 TP50.1,U6.12, 
'QOWUGH8HDOO5MXVM' 	 J7.2,R132.2, 
'A48LFHRKJEUHN5IH' 	 C10.1,C11.1,C12.1,C13.1,C9.1,R100.1,R101.1,R275.1,U7.1, 
'5QFJECHRE1DX31DZ' 	 R169.2,R236.1,U6.7, 
'0VC0RJRKQCD4HAOV' 	 TP41.1,U6.14, 
'TUCCDVMAJBJZ0HWC' 	 C14.1,C15.1,C16.1,C17.1,C18.1,R102.1,R103.1,R276.1,U8.1, 
'UMLD7AFWWYQVBNOG' 	 R168.2,R235.1,U6.6, 
